XLK,2023-02-01 00:00:00,selectkbest,skewness_6m,MACD_3m,MACD_6m,MACD_12m,ROC_12m,MACD_24m,RSI_48m,MACD_48m,momentum_diff_RSI_24m_48m,adl
XLF,2023-02-01 00:00:00,shap,CPIAUCSL,open,ADX_24m,volume,skewness_3m,bollinger_high_24,kurtosis_12m,price_oscillator,ROC_3m,momentum_diff_ROC_3m_6m
XLF,2023-02-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLF,2023-02-01 00:00:00,causal,CPIAUCSL,price_oscillator,ADX_24m,bollinger_high_3,kurtosis_6m,UMCSENT,ADX_6m,adl,momentum_diff_ROC_3m_6m,bollinger_low_12
XLY,2023-02-01 00:00:00,shap,skewness_24m,UNRATE,RSI_48m,UMCSENT,ROC_12m,price_oscillator,MACD_3m,CPIAUCSL,ROC_48m,momentum_diff_ADX_3m_6m
XLP,2023-02-01 00:00:00,causal,skewness_3m,bollinger_low_3,kurtosis_12m,ADX_3m,MACD_3m,ADX_6m,bollinger_low_24,momentum_diff_RSI_6m_12m,price_oscillator,ROC_12m
XLP,2023-02-01 00:00:00,shap,ADX_3m,bollinger_low_3,MACD_3m,open,price_oscillator,bollinger_low_24,kurtosis_24m,bollinger_low_12,ROC_6m,volume
XLP,2023-02-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLY,2023-02-01 00:00:00,causal,bollinger_high_6,bollinger_low_6,UMCSENT,ADX_3m,ROC_12m,bollinger_high_3,price_oscillator,bollinger_high_12,ROC_24m,UNRATE
XLV,2023-02-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLY,2023-02-01 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLF,2023-02-01 00:00:00,selectkbest,MACD_3m,MACD_6m,MACD_12m,ADX_12m,RSI_24m,MACD_24m,ADX_24m,MACD_48m,bollinger_high_3,bollinger_high_12
XLV,2023-02-01 00:00:00,shap,bollinger_high_3,PPO_3m,kurtosis_6m,skewness_48m,UMCSENT,momentum_diff_ROC_12m_24m,price_oscillator,skewness_24m,skewness_3m,momentum_diff_RSI_3m_6m
XLY,2023-02-01 00:00:00,selectkbest,MACD_3m,MACD_6m,MACD_12m,ROC_12m,MACD_24m,RSI_48m,MACD_48m,momentum_diff_RSI_24m_48m,momentum_diff_ROC_24m_48m,bollinger_high_12
XLP,2023-02-01 00:00:00,selectkbest,skewness_3m,kurtosis_24m,MACD_3m,ADX_3m,MACD_6m,MACD_12m,MACD_24m,MACD_48m,momentum_diff_ADX_3m_6m,bollinger_low_3
XLV,2023-02-01 00:00:00,causal,bollinger_high_3,PPO_3m,kurtosis_6m,skewness_3m,bollinger_low_6,momentum_diff_RSI_3m_6m,skewness_48m,skewness_24m,momentum_diff_ROC_12m_24m,BOPGSTB
