date,ETF,Method,model,hyperparam_method,train_period,val_period,RMSE
2019-01-03,XLB,shap,XGBR,optuna,60,12,0.03205099084644546
2019-01-03,XLB,shap,XGBR,random,36,12,0.030466896690892368
2019-01-03,XLB,shap,XGBR,random,60,12,0.030466896690892368
2019-01-03,XLE,causal,LGBMR,optuna,36,12,0.05653523064958915
2019-01-03,XLE,causal,LGBMR,optuna,60,12,0.05632921238473196
2019-01-03,XLE,causal,LGBMR,random,36,12,0.05606589995920461
2019-01-03,XLE,causal,LGBMR,random,60,12,0.056154008223186544
2019-01-03,XLE,causal,RFR,optuna,36,12,0.057480231294579104
2019-01-03,XLE,causal,RFR,optuna,60,12,0.05747544353528953
2019-01-03,XLE,causal,RFR,random,36,12,0.05696821935791662
2019-01-03,XLE,causal,RFR,random,60,12,0.056750825111571535
2019-01-03,XLE,causal,XGBR,optuna,36,12,0.056372824626586354
2019-01-03,XLE,causal,XGBR,optuna,60,12,0.057319320961452785
2019-01-03,XLE,causal,XGBR,random,36,12,0.057213645696757326
2019-01-03,XLE,causal,XGBR,random,60,12,0.05695424634999616
2019-01-03,XLE,selectkbest,LGBMR,optuna,36,12,0.05638195543422968
2019-01-03,XLE,selectkbest,LGBMR,optuna,60,12,0.056431384929084116
2019-01-03,XLE,selectkbest,LGBMR,random,36,12,0.056333808776969696
2019-01-03,XLE,selectkbest,LGBMR,random,60,12,0.056333808776969696
2019-01-03,XLE,selectkbest,RFR,optuna,36,12,0.058780531837272124
2019-01-03,XLE,selectkbest,RFR,optuna,60,12,0.05872945070818071
2019-01-03,XLE,selectkbest,RFR,random,36,12,0.058408852223924515
2019-01-03,XLE,selectkbest,RFR,random,60,12,0.058408852223924515
2019-01-03,XLE,selectkbest,XGBR,optuna,36,12,0.05692452039392314
2019-01-03,XLE,selectkbest,XGBR,optuna,60,12,0.05655492817399154
2019-01-03,XLE,selectkbest,XGBR,random,36,12,0.0587029392901621
2019-01-03,XLE,selectkbest,XGBR,random,60,12,0.0587029392901621
2019-01-03,XLE,shap,LGBMR,optuna,36,12,0.059314950358081917
2019-01-03,XLE,shap,LGBMR,optuna,60,12,0.05902099893044616
2019-01-03,XLE,shap,LGBMR,random,36,12,0.05922573541359019
2019-01-03,XLE,shap,LGBMR,random,60,12,0.05922573541359019
2019-01-03,XLE,shap,RFR,optuna,36,12,0.05871650071641199
2019-01-03,XLE,shap,RFR,optuna,60,12,0.05906096076851117
2019-01-03,XLE,shap,RFR,random,36,12,0.058399215899014006
2019-01-03,XLE,shap,RFR,random,60,12,0.058399215899014006
2019-01-03,XLE,shap,XGBR,optuna,36,12,0.057303406806395
2019-01-03,XLE,shap,XGBR,optuna,60,12,0.05709287975356222
2019-01-03,XLE,shap,XGBR,random,36,12,0.058934027402219924
2019-01-03,XLE,shap,XGBR,random,60,12,0.058934027402219924
2019-01-03,XLF,causal,LGBMR,optuna,36,12,0.03443899284022352
