n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,Modelo,Metodo,ETF,date
109,23,2,2,log2,RFR,optuna,XLV,2019-06-03
199,17,3,2,log2,RFR,optuna,XLF,2019-06-03
169,11,6,1,sqrt,RFR,optuna,VOX,2019-06-03
156,14,3,3,log2,RFR,optuna,XLU,2019-06-03
194,23,5,3,log2,RFR,optuna,XLY,2019-06-03
109,23,2,1,log2,RFR,optuna,SPY,2019-07-01
50,27,6,3,sqrt,RFR,optuna,XLE,2019-07-01
84,19,4,3,log2,RFR,optuna,XLK,2019-07-01
165,17,3,3,sqrt,RFR,optuna,XLB,2019-07-01
189,14,5,3,log2,RFR,optuna,XLF,2019-07-01
200,25,5,3,sqrt,RFR,optuna,XLI,2019-07-01
114,13,5,3,sqrt,RFR,optuna,VOX,2019-07-01
171,30,5,3,sqrt,RFR,optuna,XLP,2019-07-01
150,10,6,3,log2,RFR,optuna,XLU,2019-07-01
175,13,5,3,log2,RFR,optuna,IYR,2019-07-01
194,24,6,3,log2,RFR,optuna,XLY,2019-07-01
182,13,3,3,log2,RFR,optuna,XLV,2019-07-01
104,17,2,2,log2,RFR,optuna,SPY,2019-08-01
70,28,6,3,sqrt,RFR,optuna,XLF,2019-08-01
163,11,5,3,log2,RFR,optuna,XLB,2019-08-01
142,22,5,3,log2,RFR,optuna,XLK,2019-08-01
158,28,2,3,sqrt,RFR,optuna,XLI,2019-08-01
186,17,3,3,log2,RFR,optuna,XLE,2019-08-01
52,25,5,3,log2,RFR,optuna,XLY,2019-08-01
179,19,3,3,log2,RFR,optuna,IYR,2019-08-01
200,22,3,3,log2,RFR,optuna,XLP,2019-08-01
166,14,2,3,log2,RFR,optuna,XLV,2019-08-01
146,24,5,3,sqrt,RFR,optuna,VOX,2019-08-01
200,27,3,3,sqrt,RFR,optuna,XLU,2019-08-01
57,18,4,3,log2,RFR,optuna,SPY,2019-09-03
113,17,4,3,sqrt,RFR,optuna,XLB,2019-09-03
134,15,4,3,log2,RFR,optuna,XLK,2019-09-03
50,29,4,3,log2,RFR,optuna,XLU,2019-09-03
106,17,4,3,log2,RFR,optuna,XLY,2019-09-03
117,22,4,1,log2,RFR,optuna,XLF,2019-09-03
184,19,2,3,log2,RFR,optuna,XLE,2019-09-03
187,27,4,3,sqrt,RFR,optuna,XLI,2019-09-03
171,11,4,3,sqrt,RFR,optuna,XLP,2019-09-03
195,15,3,1,log2,RFR,optuna,IYR,2019-09-03
178,30,3,3,log2,RFR,optuna,XLV,2019-09-03
148,18,6,3,sqrt,RFR,optuna,VOX,2019-09-03
160,15,4,1,log2,RFR,optuna,SPY,2019-10-01
56,27,6,3,log2,RFR,optuna,XLB,2019-10-01
82,17,2,3,log2,RFR,optuna,XLK,2019-10-01
94,25,4,3,log2,RFR,optuna,VOX,2019-10-01
75,19,3,3,sqrt,RFR,optuna,XLU,2019-10-01
58,23,2,2,log2,RFR,optuna,XLV,2019-10-01
169,21,6,3,log2,RFR,optuna,XLE,2019-10-01
156,19,4,3,sqrt,RFR,optuna,XLF,2019-10-01
194,17,2,3,log2,RFR,optuna,XLI,2019-10-01
176,10,4,3,log2,RFR,optuna,XLP,2019-10-01
167,15,5,1,log2,RFR,optuna,IYR,2019-10-01
182,12,4,3,sqrt,RFR,optuna,XLY,2019-10-01
190,27,5,3,sqrt,RFR,optuna,SPY,2019-11-01
58,16,5,3,log2,RFR,optuna,XLI,2019-11-01
92,25,5,3,log2,RFR,optuna,XLK,2019-11-01
60,30,5,1,sqrt,RFR,optuna,XLF,2019-11-01
53,26,4,3,sqrt,RFR,optuna,XLP,2019-11-01
134,21,3,3,log2,RFR,optuna,XLB,2019-11-01
68,24,4,3,log2,RFR,optuna,XLV,2019-11-01
64,22,5,3,log2,RFR,optuna,XLY,2019-11-01
185,10,4,3,log2,RFR,optuna,XLE,2019-11-01
164,22,5,3,log2,RFR,optuna,IYR,2019-11-01
135,11,5,3,sqrt,RFR,optuna,VOX,2019-11-01
168,16,3,1,log2,RFR,optuna,XLU,2019-11-01
122,21,4,2,log2,RFR,optuna,SPY,2019-12-02
106,13,5,3,sqrt,RFR,optuna,XLP,2019-12-02
112,17,4,3,log2,RFR,optuna,XLB,2019-12-02
135,14,5,3,sqrt,RFR,optuna,XLK,2019-12-02
108,10,4,2,log2,RFR,optuna,XLV,2019-12-02
193,14,3,3,sqrt,RFR,optuna,XLI,2019-12-02
172,30,2,3,log2,RFR,optuna,XLE,2019-12-02
179,21,5,3,sqrt,RFR,optuna,XLF,2019-12-02
123,24,2,3,log2,RFR,optuna,VOX,2019-12-02
173,25,2,3,sqrt,RFR,optuna,XLU,2019-12-02
55,27,6,3,log2,RFR,optuna,XLY,2019-12-02
180,20,4,3,sqrt,RFR,optuna,IYR,2019-12-02
54,25,5,1,sqrt,RFR,optuna,SPY,2020-01-02
51,17,2,3,sqrt,RFR,optuna,XLY,2020-01-02
51,24,6,3,sqrt,RFR,optuna,XLI,2020-01-02
86,16,6,2,log2,RFR,optuna,XLF,2020-01-02
94,23,6,3,sqrt,RFR,optuna,XLP,2020-01-02
54,10,6,3,log2,RFR,optuna,IYR,2020-01-02
94,16,5,3,log2,RFR,optuna,XLB,2020-01-02
184,13,6,3,log2,RFR,optuna,XLE,2020-01-02
147,22,3,3,sqrt,RFR,optuna,XLK,2020-01-02
103,10,2,3,log2,RFR,optuna,VOX,2020-01-02
136,23,5,3,log2,RFR,optuna,XLU,2020-01-02
200,16,6,3,log2,RFR,optuna,XLV,2020-01-02
