date,Method,model,hyperparam_method,train_period,val_period,RMSE
2019-02-01,selectkbest,XGBR,optuna,60,12,0.0388836131516871
2019-02-01,selectkbest,XGBR,random,36,12,0.039224774407792616
2019-02-01,selectkbest,XGBR,random,60,12,0.039224774407792616
2019-02-01,shap,LGBMR,optuna,36,12,0.03875028941829963
2019-02-01,shap,LGBMR,optuna,60,12,0.038953635988907505
2019-02-01,shap,LGBMR,random,36,12,0.039017203480226706
2019-02-01,shap,LGBMR,random,60,12,0.039017203480226706
2019-02-01,shap,RFR,optuna,36,12,0.037633496813625295
2019-02-01,shap,RFR,optuna,60,12,0.03761936337507373
2019-02-01,shap,RFR,random,36,12,0.03750522779275268
2019-02-01,shap,RFR,random,60,12,0.03750522779275268
2019-02-01,shap,XGBR,optuna,36,12,0.03900910247768835
2019-02-01,shap,XGBR,optuna,60,12,0.038857745447821494
2019-02-01,shap,XGBR,random,36,12,0.038711602671845875
2019-02-01,shap,XGBR,random,60,12,0.038711602671845875
2019-03-01,causal,LGBMR,optuna,36,12,0.037277251716354584
2019-03-01,causal,LGBMR,optuna,60,12,0.03731961631732694
2019-03-01,causal,LGBMR,random,36,12,0.03774952106527249
2019-03-01,causal,LGBMR,random,60,12,0.037642499588044886
2019-03-01,causal,RFR,optuna,36,12,0.03672623568357767
2019-03-01,causal,RFR,optuna,60,12,0.03688457397398063
2019-03-01,causal,RFR,random,36,12,0.036874718037367055
2019-03-01,causal,RFR,random,60,12,0.036590081001232844
2019-03-01,causal,XGBR,optuna,36,12,0.037890619292097534
2019-03-01,causal,XGBR,optuna,60,12,0.03785602367940113
2019-03-01,causal,XGBR,random,36,12,0.03725965135851798
2019-03-01,causal,XGBR,random,60,12,0.03742410067834113
2019-03-01,selectkbest,LGBMR,optuna,36,12,0.03778013026283102
2019-03-01,selectkbest,LGBMR,optuna,60,12,0.03778769041752891
2019-03-01,selectkbest,LGBMR,random,36,12,0.03755695810769686
2019-03-01,selectkbest,LGBMR,random,60,12,0.03755695810769686
2019-03-01,selectkbest,RFR,optuna,36,12,0.03737527973476709
2019-03-01,selectkbest,RFR,optuna,60,12,0.03726324643578131
2019-03-01,selectkbest,RFR,random,36,12,0.03717351036192565
2019-03-01,selectkbest,RFR,random,60,12,0.03717351036192565
2019-03-01,selectkbest,XGBR,optuna,36,12,0.03819733404543826
2019-03-01,selectkbest,XGBR,optuna,60,12,0.03791287285589566
2019-03-01,selectkbest,XGBR,random,36,12,0.03788812964961676
2019-03-01,selectkbest,XGBR,random,60,12,0.03788812964961676
2019-03-01,shap,LGBMR,optuna,36,12,0.03766198472345298
