subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,gamma,colsample_bytree,Modelo,Metodo,ETF,date
99,0.06864825312583776,8,0.6235359808623425,0.6910468537714349,0.20271874903258613,0.003927831401458359,1.9225031074533225,XGBR,optuna,XLK,2019-05-01
62,0.09142001657524099,11,0.6049656963298029,0.6873491835860613,0.053589188429029766,0.13842206407900515,1.6851893367848092,XGBR,optuna,XLU,2019-05-01
99,0.0641213667272485,6,0.7652595758684189,0.6565470570850783,0.04059240297029587,0.3270725444141375,1.601693016046326,XGBR,optuna,XLI,2019-05-01
70,0.08492159171534788,7,0.6422797033285518,0.636764831536557,0.3864987217589971,0.13925415014362474,1.0155655442727403,XGBR,optuna,XLY,2019-05-01
61,0.07577402089839672,12,0.600796406996697,0.7412434936564726,0.4151804959237074,0.004112650084643971,1.3550210109268677,XGBR,optuna,VOX,2019-05-01
85,0.07035707972204089,11,0.7018780069696537,0.6976770031659356,0.07763642013293665,0.0021639789225029737,1.1683832015159128,XGBR,optuna,IYR,2019-05-01
66,0.08786153675723257,10,0.7015628935563519,0.7800993337957101,0.24194624354593197,0.048247235145819,1.198090441858785,XGBR,optuna,XLF,2019-06-03
50,0.07402985785723673,10,0.687608662330826,0.7129548500456618,0.10619926088892993,0.3811234769597896,1.9189590989400145,XGBR,optuna,XLE,2019-06-03
66,0.06216099632897471,15,0.6361836225667175,0.7940629191227733,0.1521436423617022,0.13979939945223352,1.2049949879890953,XGBR,optuna,XLI,2019-06-03
74,0.06642857170213681,6,0.6545579761061566,0.7141751961598812,0.0553710812774979,0.20007194586181032,1.2779163240988392,XGBR,optuna,SPY,2019-06-03
58,0.07902232644065807,8,0.6207220429675748,0.7143639863174533,0.06316485351823486,0.04043009463824162,1.34659843864632,XGBR,optuna,XLK,2019-06-03
64,0.0682787621063888,13,0.7188855571745517,0.6624106034391525,0.40792076098193975,0.03303381142668337,1.5277629544133124,XGBR,optuna,VOX,2019-06-03
100,0.09356309047055864,11,0.6783683196604459,0.7834629597451233,0.3783612820607578,0.08949075672853857,1.9713349275058567,XGBR,optuna,XLB,2019-06-03
55,0.07526427009782533,8,0.6489648691698289,0.792860563176079,0.11660407913800797,0.023529969258878458,1.1296315510461188,XGBR,optuna,IYR,2019-06-03
67,0.09930746605868612,5,0.6415858654998153,0.7067119186392512,0.23134694111646043,0.2271200614764708,1.3696319963735213,XGBR,optuna,XLU,2019-06-03
59,0.05707708321667203,14,0.7245076587760835,0.7821174095577279,0.10536522998772002,0.1756027706761431,1.5882756968841973,XGBR,optuna,XLY,2019-06-03
88,0.07810302264853357,12,0.6113409548296823,0.6907316378420668,0.3043753144133512,0.08808252866413058,1.6478613037261831,XGBR,optuna,XLP,2019-06-03
63,0.057037306333866215,9,0.6281618933197342,0.6894301833725901,0.0003386100101210182,0.061774259774512216,1.9880898604659887,XGBR,optuna,XLV,2019-06-03
69,0.06479630749184459,8,0.7136617117163904,0.6843672904925979,0.33070886795775284,0.022936393783657926,1.9920706020586314,XGBR,optuna,XLF,2019-07-01
72,0.06731381543593337,12,0.7417080835200759,0.7185228839166073,0.06716122073691155,0.1224312506907626,1.660740285720383,XGBR,optuna,XLI,2019-07-01
75,0.07778377375354964,11,0.6161902934441686,0.6414447763702871,0.046887681206549625,0.11749916150068346,1.8926002907368886,XGBR,optuna,SPY,2019-07-01
100,0.08595846201491451,7,0.7737727510410582,0.7499705826387384,0.34473158440838214,0.1298252087046446,1.2135978224687933,XGBR,optuna,XLE,2019-07-01
94,0.09095944954628163,5,0.6094246356483601,0.7177071779792993,0.00261823474570449,0.08941106453182507,1.5308944145622674,XGBR,optuna,XLB,2019-07-01
65,0.07596024535844757,8,0.6594904755171412,0.7658461809812598,0.12862721226618098,0.0030798381202013694,1.588704432933918,XGBR,optuna,VOX,2019-07-01
81,0.09252643690608121,15,0.6984812789459814,0.6052308262427669,0.2966076100299393,0.16057681181395428,1.341206122801082,XGBR,optuna,XLV,2019-07-01
95,0.09277215848693134,13,0.6313298581083604,0.7653070736826044,0.3055783824115418,0.10737481294756619,1.8273687813775972,XGBR,optuna,XLK,2019-07-01
78,0.0694457927623665,10,0.6594834258297613,0.6357259236471096,0.32192534946228224,0.09719250807160527,1.3558955134632442,XGBR,optuna,XLY,2019-07-01
95,0.09609534580371548,6,0.80900423460173,0.7261296570900694,0.1543356873511063,0.005901509989864584,1.1117923799969724,XGBR,optuna,XLP,2019-07-01
84,0.09983851194859777,5,0.6655257825790966,0.7997485810450317,0.4216027680734824,0.01801336841643386,1.7467244975801774,XGBR,optuna,XLU,2019-07-01
92,0.07390510295394027,6,0.7649423223546395,0.6687551243253721,0.25948584374485034,0.009308364835174873,1.0590733970637616,XGBR,optuna,IYR,2019-07-01
50,0.050115969653300195,5,0.894765996315787,0.6851157236804355,0.10923134197375114,0.00032974795780059407,1.4127495208749825,XGBR,optuna,XLI,2019-08-01
81,0.05560585964040181,12,0.8411914387967957,0.7263123636552028,0.4604023931267779,0.3015362625224849,1.4277388331754985,XGBR,optuna,SPY,2019-08-01
61,0.05055996761932664,10,0.8925841641932738,0.6590585608387987,0.000993271557408637,0.012023487943667421,1.9729620429965053,XGBR,optuna,XLK,2019-08-01
77,0.09991888202934075,12,0.8304714909390749,0.690175679061659,0.12550117913111652,0.19445633552602928,1.8078100145760636,XGBR,optuna,XLE,2019-08-01
50,0.05873697673949732,9,0.7364617425284788,0.6029438589084474,0.45360742241280194,0.0019804763535434255,1.974239808104528,XGBR,optuna,XLU,2019-08-01
