date,Method,ETF,RMSE
2023-05-01,causal,XLF,0.07674000226475516
2023-05-01,shap,XLP,0.04889875945620825
2023-05-01,causal,XLP,0.04833632757369576
2023-05-01,estatico,XLP,0.045310319162867346
2023-05-01,selectkbest,XLF,0.07366724619341244
2023-05-01,causal,XLY,0.09549379349500736
2023-05-01,shap,XLY,0.09498987981536407
2023-05-01,shap,XLV,0.04404867015559525
2023-05-01,estatico,XLY,0.09730576858569392
2023-05-01,causal,XLV,0.04355276452096816
2023-05-01,estatico,XLV,0.044162479548427246
2023-05-01,selectkbest,XLY,0.09283184412703545
2023-05-01,selectkbest,XLP,0.052595956627126295
2023-05-01,shap,XLU,0.0541207095901962
2023-05-01,selectkbest,XLV,0.041783223569856066
2023-05-01,causal,XLU,0.05386028743412099
2023-05-01,estatico,XLU,0.052476690770421594
2023-05-01,shap,IYR,0.07443634674861521
2023-05-01,causal,IYR,0.07059157636250417
2023-05-01,selectkbest,XLU,0.049969566646995124
2023-05-01,estatico,IYR,0.069432199797269
2023-05-01,shap,VOX,0.08441736772276137
2023-05-01,estatico,VOX,0.08410994809465441
2023-05-01,causal,VOX,0.0832311346684795
2023-05-01,causal,SPY,0.06346693884498232
2023-05-01,shap,SPY,0.06569328814679681
2023-05-01,selectkbest,IYR,0.07113588196474731
2023-05-01,estatico,SPY,0.06908097284848715
2023-05-01,selectkbest,VOX,0.08375982058456903
2023-05-01,selectkbest,SPY,0.06516850793658809
2023-06-01,causal,XLB,0.07407321552492847
2023-06-01,estatico,XLB,0.07999201213130415
2023-06-01,shap,XLB,0.07387057973272101
2023-06-01,causal,XLE,0.10145639726562858
2023-06-01,selectkbest,XLI,0.06470697847025254
2023-06-01,estatico,XLI,0.06365933600967423
2023-06-01,selectkbest,XLE,0.10544685438356148
2023-06-01,shap,XLE,0.1010169698801758
2023-06-01,causal,XLI,0.06499003027827795
2023-06-01,selectkbest,XLB,0.07110504269131687
2023-06-01,estatico,XLE,0.10639305031033151
2023-06-01,shap,XLK,0.08310495361179919
2023-06-01,causal,XLK,0.08051082665740049
2023-06-01,estatico,XLK,0.08174513440737254
2023-06-01,shap,XLI,0.06406238040398884
2023-06-01,selectkbest,XLK,0.08165821808924788
2023-06-01,shap,XLF,0.07188722282996464
2023-06-01,causal,XLF,0.07239093545735359
2023-06-01,shap,XLP,0.052724414225224545
2023-06-01,causal,XLP,0.051744630019080175
2023-06-01,estatico,XLF,0.07098878344266323
2023-06-01,estatico,XLP,0.04897716426066718
2023-06-01,selectkbest,XLF,0.06979784749630419
2023-06-01,shap,XLY,0.0857955824215026
2023-06-01,causal,XLY,0.08898175442052178
2023-06-01,estatico,XLY,0.0877339848650972
2023-06-01,shap,XLV,0.047444385515920826
2023-06-01,causal,XLV,0.04641063208209487
2023-06-01,selectkbest,XLP,0.05146896474222033
2023-06-01,estatico,XLV,0.043530134595982484
2023-06-01,shap,XLU,0.054234174264066216
2023-06-01,selectkbest,XLY,0.08496575178989929
2023-06-01,causal,XLU,0.05367996603971784
2023-06-01,selectkbest,XLV,0.04279574016350078
2023-06-01,estatico,XLU,0.054553494193373714
2023-06-01,shap,IYR,0.07660948459839553
2023-06-01,estatico,IYR,0.0718284385218969
2023-06-01,causal,VOX,0.0700523342487714
2023-06-01,causal,IYR,0.07229498929767442
2023-06-01,selectkbest,XLU,0.05398247994121826
2023-06-01,estatico,VOX,0.0697935457645177
2023-06-01,causal,SPY,0.059216896773936045
2023-06-01,shap,VOX,0.06902134540173477
2023-06-01,estatico,SPY,0.06206087234922738
