n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Modelo,Metodo,ETF,date
167,19,3,2,log2,RFR,5,XLY,2023-11-30
200,22,2,3,sqrt,RFR,5,XLV,2023-11-30
175,19,3,1,sqrt,RFR,5,XLP,2023-11-30
52,10,2,3,log2,RFR,5,XLI,2023-12-31
89,25,5,3,log2,RFR,5,SPY,2023-12-31
50,21,2,3,sqrt,RFR,5,VOX,2023-12-31
55,20,3,1,sqrt,RFR,5,XLP,2023-12-31
56,13,5,3,sqrt,RFR,5,XLB,2023-12-31
87,22,4,3,log2,RFR,5,XLU,2023-12-31
102,22,4,3,log2,RFR,5,XLF,2023-12-31
171,22,2,3,log2,RFR,5,XLK,2023-12-31
168,22,3,2,log2,RFR,5,XLY,2023-12-31
152,14,2,3,log2,RFR,5,XLE,2023-12-31
199,23,4,3,log2,RFR,5,XLV,2023-12-31
200,23,6,1,sqrt,RFR,5,IYR,2023-12-31
50,12,2,3,sqrt,RFR,5,XLE,2022-12-31
51,14,5,3,sqrt,RFR,5,XLE,2022-12-31
68,27,6,2,sqrt,RFR,5,XLB,2022-12-31
76,24,5,2,sqrt,RFR,5,XLB,2022-12-31
50,15,2,1,log2,RFR,5,XLI,2022-12-31
127,30,5,3,sqrt,RFR,5,XLE,2022-12-31
96,24,2,1,log2,RFR,5,XLI,2022-12-31
200,22,2,3,log2,RFR,5,XLB,2022-12-31
147,23,3,1,log2,RFR,5,XLI,2022-12-31
165,30,5,2,sqrt,RFR,5,XLK,2022-12-31
59,15,4,3,sqrt,RFR,5,XLE,2022-12-31
147,25,5,3,sqrt,RFR,5,XLK,2022-12-31
166,18,5,3,log2,RFR,5,XLK,2022-12-31
50,15,4,2,sqrt,RFR,5,XLI,2022-12-31
75,23,6,3,sqrt,RFR,5,XLB,2022-12-31
92,15,5,2,log2,RFR,5,XLK,2022-12-31
78,12,3,2,log2,RFR,5,XLF,2022-12-31
180,18,4,3,sqrt,RFR,5,XLF,2022-12-31
87,18,5,2,log2,RFR,5,XLP,2022-12-31
130,23,6,3,sqrt,RFR,5,XLP,2022-12-31
150,19,4,3,sqrt,RFR,5,XLF,2022-12-31
99,24,2,1,log2,RFR,5,XLY,2022-12-31
138,18,3,1,sqrt,RFR,5,XLY,2022-12-31
73,18,2,3,sqrt,RFR,5,XLV,2022-12-31
80,27,6,2,log2,RFR,5,XLY,2022-12-31
105,17,3,3,sqrt,RFR,5,XLP,2022-12-31
175,19,6,2,sqrt,RFR,5,XLF,2022-12-31
150,14,6,3,sqrt,RFR,5,XLP,2022-12-31
199,19,5,3,log2,RFR,5,XLV,2022-12-31
106,14,6,3,sqrt,RFR,5,XLY,2022-12-31
81,20,6,3,sqrt,RFR,5,XLV,2022-12-31
197,25,6,3,log2,RFR,5,XLU,2022-12-31
149,11,6,3,sqrt,RFR,5,XLV,2022-12-31
123,16,3,3,sqrt,RFR,5,XLU,2022-12-31
106,18,6,3,log2,RFR,5,IYR,2022-12-31
99,15,6,3,log2,RFR,5,IYR,2022-12-31
69,24,6,2,log2,RFR,5,IYR,2022-12-31
82,29,4,2,sqrt,RFR,5,VOX,2022-12-31
198,21,6,3,sqrt,RFR,5,XLU,2022-12-31
83,12,4,3,sqrt,RFR,5,XLU,2022-12-31
53,30,3,1,sqrt,RFR,5,VOX,2022-12-31
134,19,4,3,sqrt,RFR,5,VOX,2022-12-31
143,23,4,3,sqrt,RFR,5,IYR,2022-12-31
70,27,5,3,log2,RFR,5,SPY,2022-12-31
57,27,3,2,sqrt,RFR,5,VOX,2022-12-31
171,16,6,3,sqrt,RFR,5,SPY,2022-12-31
134,13,5,3,sqrt,RFR,5,SPY,2022-12-31
50,19,3,3,sqrt,RFR,5,SPY,2022-12-31
69,23,3,3,log2,RFR,5,XLE,2023-01-31
52,19,5,2,sqrt,RFR,5,XLB,2023-01-31
63,22,3,3,log2,RFR,5,XLB,2023-01-31
