date,Rendimiento,Features,Method,ETF,RMSE,model,hyperparam_method,train_period,val_period
2019-11-01,1,10,shap,XLF,0.023625241712393726,LGBMR,random,36,12
2019-11-01,1,10,shap,XLP,0.0323394414264145,LGBMR,random,36,12
2019-11-01,1,10,shap,XLY,0.016525292730942148,LGBMR,random,36,12
2019-11-01,1,10,shap,SPY,0.0,LGBMR,random,36,12
2019-11-01,1,10,shap,XLV,0.029612159707347114,LGBMR,random,36,12
2019-11-01,1,10,shap,XLU,0.0445695261502438,LGBMR,random,36,12
2019-11-01,1,10,shap,IYR,0.032316806543704765,LGBMR,random,36,12
2019-11-01,1,10,shap,VOX,0.020376632179396663,LGBMR,random,36,12
2019-12-02,1,10,shap,XLE,0.02896927382218187,LGBMR,random,36,12
2019-12-02,1,10,shap,XLB,0.018891100701001307,LGBMR,random,36,12
2019-12-02,1,10,shap,XLI,0.017979591812029974,LGBMR,random,36,12
2019-12-02,1,10,shap,XLK,0.021905235864374203,LGBMR,random,36,12
2019-12-02,1,10,shap,XLF,0.02379641698794255,LGBMR,random,36,12
2019-12-02,1,10,shap,XLP,0.02007620072972735,LGBMR,random,36,12
2019-12-02,1,10,shap,XLY,0.014147821121045198,LGBMR,random,36,12
2019-12-02,1,10,shap,SPY,0.0,LGBMR,random,36,12
2019-12-02,1,10,shap,XLV,0.031128800303579167,LGBMR,random,36,12
2019-12-02,1,10,shap,XLU,0.03907607438565711,LGBMR,random,36,12
2019-12-02,1,10,shap,IYR,0.033262591254022415,LGBMR,random,36,12
2019-12-02,1,10,shap,VOX,0.019132018220932204,LGBMR,random,36,12
2020-01-02,1,10,shap,XLE,0.03130720019652541,LGBMR,random,36,12
2020-01-02,1,10,shap,XLB,0.01837556810192068,LGBMR,random,36,12
2020-01-02,1,10,shap,XLI,0.01877439274553969,LGBMR,random,36,12
2020-01-02,1,10,shap,XLK,0.01766899659966727,LGBMR,random,36,12
2020-01-02,1,10,shap,XLF,0.02233865077134324,LGBMR,random,36,12
2020-01-02,1,10,shap,XLP,0.020051676071135484,LGBMR,random,36,12
2020-01-02,1,10,shap,XLY,0.014012816844932831,LGBMR,random,36,12
2020-01-02,1,10,shap,SPY,0.0,LGBMR,random,36,12
2020-01-02,1,10,shap,XLV,0.028513132437944955,LGBMR,random,36,12
2020-01-02,1,10,shap,XLU,0.04121579114156361,LGBMR,random,36,12
2020-01-02,1,10,shap,VOX,0.01810992971679582,LGBMR,random,36,12
2020-01-02,1,10,shap,IYR,0.03410418622011937,LGBMR,random,36,12
2019-10-03,1,10,shap,XLK,0.020597934229228735,XGBR,optuna,36,12
2019-10-03,1,10,shap,XLF,0.024800898566684812,XGBR,optuna,36,12
2019-10-03,1,10,shap,XLP,0.03187319232080503,XGBR,optuna,36,12
2019-10-03,1,10,shap,XLE,0.03427056360884962,XGBR,optuna,36,12
2019-10-03,1,10,shap,VOX,0.019810455668257523,XGBR,optuna,36,12
2019-10-03,1,10,shap,XLI,0.021928214101179334,XGBR,optuna,36,12
2019-10-03,1,10,shap,XLB,0.019988203823593974,XGBR,optuna,36,12
2019-10-03,1,10,shap,XLV,0.03232487404760142,XGBR,optuna,36,12
2019-10-03,1,10,shap,XLY,0.015106645989489263,XGBR,optuna,36,12
2019-10-03,1,10,shap,SPY,0.0,XGBR,optuna,36,12
2019-10-03,1,10,shap,XLU,0.04298245836345934,XGBR,optuna,36,12
2019-10-03,1,10,shap,IYR,0.037482691556864595,XGBR,optuna,36,12
2019-11-01,1,10,shap,XLB,0.019828966347498537,XGBR,optuna,36,12
2019-11-01,1,10,shap,XLK,0.020805593455730482,XGBR,optuna,36,12
2019-11-01,1,10,shap,XLP,0.032469545178943404,XGBR,optuna,36,12
2019-11-01,1,10,shap,XLF,0.023617765964274284,XGBR,optuna,36,12
2019-11-01,1,10,shap,XLE,0.0348453687781293,XGBR,optuna,36,12
2019-11-01,1,10,shap,XLI,0.021724073131384497,XGBR,optuna,36,12
2019-11-01,1,10,shap,XLU,0.04522131193300806,XGBR,optuna,36,12
2019-11-01,1,10,shap,VOX,0.01978608969962588,XGBR,optuna,36,12
2019-11-01,1,10,shap,IYR,0.03340877943030501,XGBR,optuna,36,12
2019-11-01,1,10,shap,SPY,0.0,XGBR,optuna,36,12
2019-11-01,1,10,shap,XLY,0.016528124827880845,XGBR,optuna,36,12
2019-11-01,1,10,shap,XLV,0.03146753251879537,XGBR,optuna,36,12
