date,open,high,low,close,volume,dividend,split,gains,etf
2020-02-26,51.703159605645304,52.39057974053497,51.17155651945843,51.25404357910156,14303600,0.0,0.0,0.0,XLB
2020-02-27,50.410810336899324,50.9974082977593,48.852657318115234,48.852657318115234,20697200,0.0,0.0,0.0,XLB
2020-02-28,47.30367021851503,48.403543105179345,46.88205338582022,48.32105255126953,30741700,0.0,0.0,0.0,XLB
2020-03-02,48.779338235748604,50.40165031816729,48.23856754160904,50.39248275756836,16817300,0.0,0.0,0.0,XLB
2020-03-03,50.55746334824158,51.45569197541645,49.28344515769356,49.95253372192383,28390200,0.0,0.0,0.0,XLB
2020-03-04,50.832417535850205,52.05144403270685,50.126665905522515,52.02394485473633,14079800,0.0,0.0,0.0,XLB
2020-03-05,50.5207949934207,51.08906480950209,50.06251491384512,50.3741455078125,14177300,0.0,0.0,0.0,XLB
2020-03-06,49.06346893310547,49.475921743788,48.11024893290568,49.06346893310547,18941100,0.0,0.0,0.0,XLB
2020-03-09,45.5347061608162,47.230340951468285,44.324847105522956,44.47149658203125,14245000,0.0,0.0,0.0,XLB
2020-03-10,46.139633276148245,46.341277606954336,44.031545850408754,46.27711868286133,16718000,0.0,0.0,0.0,XLB
2020-03-11,44.95727421553591,45.085592075848474,43.46328020675507,44.07737731933594,14954800,0.0,0.0,0.0,XLB
2020-03-12,40.8510843828699,42.62920976193612,38.83465141395394,39.833702087402344,15365800,0.0,0.0,0.0,XLB
2020-03-13,42.40923135573857,42.65670297376691,39.59539245295547,42.62920379638672,12114000,0.0,0.0,0.0,XLB
2020-03-16,34.545154456337514,39.6228990646783,34.545154456337514,37.93642807006836,14427100,0.0,0.0,0.0,XLB
2020-03-17,38.52302059784579,40.69527059249731,37.4231512545886,40.28281784057617,11044900,0.0,0.0,0.0,XLB
2020-03-18,37.670627397824134,39.219616561697556,35.2142454837007,37.70729064941406,9875900,0.0,0.0,0.0,XLB
2020-03-19,37.056525836330906,39.27459964277397,36.26828357572738,38.66967010498047,8986900,0.0,0.0,0.0,XLB
2020-03-20,38.99962994181623,39.054624804244156,36.680734103625824,37.28566360473633,15248700,0.0,0.0,0.0,XLB
2020-03-23,37.05499294301893,37.313343362100625,35.20962476155432,35.38493347167969,18677400,0.27,0.0,0.0,XLB
2020-03-24,37.61783544641832,39.80459602593288,37.304122676042994,39.54624557495117,11879300,0.0,0.0,0.0,XLB
2020-03-25,39.39861576708341,42.10208073566603,38.99263246928944,40.468929290771484,13576400,0.0,0.0,0.0,XLB
2020-03-26,40.9487172817009,42.572639587924314,40.86567558014765,42.36964797973633,13383900,0.0,0.0,0.0,XLB
2020-03-27,40.7918753658268,41.71455974064176,40.478162537599246,40.838008880615234,14075600,0.0,0.0,0.0,XLB
2020-03-30,41.34547175871264,42.305060454176115,41.004076140756425,42.13897705078125,9754200,0.0,0.0,0.0,XLB
2020-03-31,42.009814440181806,42.60033182041038,41.391617657680406,41.557701110839844,8508700,0.0,0.0,0.0,XLB
2020-04-01,40.035267594279084,40.819551290229334,39.57392548598868,39.68464660644531,10240400,0.0,0.0,0.0,XLB
2020-04-02,39.638513646083084,41.27166515431943,39.555471924655436,40.284393310546875,11784600,0.0,0.0,0.0,XLB
2020-04-03,40.0075839198016,40.828772221663186,39.140258596231355,39.31557083129883,9265800,0.0,0.0,0.0,XLB
2020-04-06,41.00408163564255,42.55419126188206,41.00408163564255,42.240478515625,10466700,0.0,0.0,0.0,XLB
2020-04-07,43.79982023337915,44.87013376784013,43.153940587464916,43.36615753173828,11211300,0.0,0.0,0.0,XLB
2020-04-08,43.827492616471496,45.69131483011163,43.33847119360049,45.48832321166992,16463600,0.0,0.0,0.0,XLB
2020-04-09,45.9865769580538,47.702769994732954,45.94044345572858,47.44441604614258,30738000,0.0,0.0,0.0,XLB
2020-04-13,47.07534581214019,47.20452103013425,45.7559071944682,46.40178680419922,15857300,0.0,0.0,0.0,XLB
2020-04-14,47.37061245363607,47.67509644461534,46.52174106107313,47.00153732299805,8262000,0.0,0.0,0.0,XLB
2020-04-15,45.506786787191515,45.552920295596124,44.48260670970822,44.84245300292969,5700600,0.0,0.0,0.0,XLB
2020-04-16,44.925487129401276,45.01775765036932,43.84594843227873,44.5840950012207,4627900,0.0,0.0,0.0,XLB
2020-04-17,45.6359569346178,46.521732868447536,45.626731641869036,46.37410354614258,6304600,0.0,0.0,0.0,XLB
