SPY,2020-01-02 00:00:00,shap,kurtosis_6m,CPIAUCSL,bollinger_high_6,obv,momentum_diff_RSI_24m_48m,volume,MACD_3m,price_oscillator,kurtosis_48m,bollinger_high_12
SPY,2020-01-02 00:00:00,causal,CPIAUCSL,RSI_12m,price_oscillator,kurtosis_48m,bollinger_low_12,bollinger_low_6,momentum_diff_ROC_3m_6m,kurtosis_12m,ROC_6m,volume
IYR,2020-01-02 00:00:00,selectkbest,skewness_6m,kurtosis_6m,skewness_12m,ROC_12m,RSI_24m,MACD_24m,MACD_48m,momentum_diff_ROC_6m_12m,momentum_diff_ROC_12m_24m,price_oscillator
VOX,2020-01-02 00:00:00,selectkbest,volume,skewness_3m,skewness_6m,MACD_3m,MACD_6m,MACD_12m,MACD_24m,MACD_48m,month,obv
SPY,2020-01-02 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
SPY,2020-01-02 00:00:00,selectkbest,MACD_3m,MACD_6m,ROC_6m,MACD_12m,RSI_24m,MACD_24m,MACD_48m,momentum_diff_ROC_3m_6m,momentum_diff_ROC_6m_12m,adl
XLE,2020-02-03 00:00:00,shap,price_oscillator,open,kurtosis_6m,BOPGSTB,RSI_6m,skewness_6m,obv,ROC_6m,month,adl
XLE,2020-02-03 00:00:00,causal,momentum_diff_ROC_12m_24m,price_oscillator,obv,open,low,high,BOPGSTB,ROC_6m,month,bollinger_high_3
XLE,2020-02-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLB,2020-02-03 00:00:00,shap,bollinger_low_6,momentum_diff_ROC_3m_6m,obv,RSI_12m,RSI_3m,BOPGSTB,ADX_3m,price_oscillator,PPO_3m,momentum_diff_ADX_6m_12m
XLB,2020-02-03 00:00:00,causal,skewness_24m,ADX_3m,ROC_48m,obv,bollinger_low_6,BOPGSTB,skewness_6m,ADX_6m,high,bollinger_low_3
XLB,2020-02-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLI,2020-02-03 00:00:00,shap,skewness_24m,ROC_6m,kurtosis_24m,obv,skewness_6m,momentum_diff_ROC_12m_24m,bollinger_low_3,kurtosis_6m,momentum_diff_ROC_24m_48m,kurtosis_12m
XLI,2020-02-03 00:00:00,causal,CPIAUCSL,momentum_diff_ROC_3m_6m,ROC_6m,kurtosis_12m,skewness_6m,bollinger_low_3,bollinger_low_6,bollinger_high_6,obv,UMCSENT
XLI,2020-02-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLE,2020-02-03 00:00:00,selectkbest,open,high,low,close_or,kurtosis_6m,ROC_6m,momentum_diff_ROC_3m_6m,bollinger_low_24,UNRATE,obv
XLK,2020-02-03 00:00:00,shap,open,bollinger_high_6,obv,MACD_3m,momentum_diff_ADX_12m_24m,ROC_6m,UMCSENT,price_oscillator,bollinger_low_12,momentum_diff_ROC_24m_48m
XLK,2020-02-03 00:00:00,causal,CPIAUCSL,obv,bollinger_low_12,bollinger_high_6,ROC_12m,momentum_diff_ROC_3m_6m,ROC_24m,bollinger_high_12,skewness_3m,momentum_diff_ADX_12m_24m
XLK,2020-02-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLB,2020-02-03 00:00:00,selectkbest,PPO_3m,PPO_6m,PPO_12m,MACD_24m,PPO_24m,ROC_24m,MACD_48m,PPO_48m,ROC_48m,momentum_diff_ROC_24m_48m
XLI,2020-02-03 00:00:00,selectkbest,skewness_6m,skewness_24m,kurtosis_24m,MACD_3m,MACD_6m,MACD_12m,MACD_24m,MACD_48m,ROC_48m,momentum_diff_ROC_24m_48m
XLK,2020-02-03 00:00:00,selectkbest,MACD_3m,MACD_6m,MACD_12m,ROC_12m,RSI_24m,MACD_24m,MACD_48m,momentum_diff_ADX_24m_48m,month,adl
XLF,2020-02-03 00:00:00,shap,CPIAUCSL,price_oscillator,momentum_diff_ROC_3m_6m,BOPGSTB,open,obv,ADX_6m,close_or,momentum_diff_ROC_12m_24m,volume
XLF,2020-02-03 00:00:00,causal,CPIAUCSL,price_oscillator,momentum_diff_ROC_3m_6m,bollinger_low_6,obv,BOPGSTB,PPIACO,skewness_24m,RSI_12m,bollinger_low_3
XLF,2020-02-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLP,2020-02-03 00:00:00,shap,ADX_3m,bollinger_low_3,bollinger_high_12,momentum_diff_ROC_6m_12m,bollinger_high_48,MACD_3m,skewness_3m,obv,momentum_diff_ADX_3m_6m,ROC_24m
XLP,2020-02-03 00:00:00,causal,adl,bollinger_low_3,bollinger_low_12,skewness_3m,volume,obv,kurtosis_6m,ADX_3m,momentum_diff_ADX_3m_6m,momentum_diff_ROC_6m_12m
XLP,2020-02-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLF,2020-02-03 00:00:00,selectkbest,MACD_3m,ADX_3m,MACD_6m,MACD_12m,ADX_12m,RSI_24m,MACD_24m,ADX_24m,MACD_48m,price_oscillator
XLY,2020-02-03 00:00:00,shap,CPIAUCSL,obv,bollinger_high_6,ROC_12m,bollinger_high_12,MACD_3m,momentum_diff_ADX_3m_6m,ADX_6m,price_oscillator,BOPGSTB
XLY,2020-02-03 00:00:00,causal,bollinger_high_6,CPIAUCSL,bollinger_high_12,ROC_12m,obv,ADX_6m,bollinger_low_6,bollinger_low_3,skewness_12m,ROC_3m
XLY,2020-02-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLV,2020-02-03 00:00:00,shap,bollinger_high_3,momentum_diff_ROC_12m_24m,kurtosis_24m,RSI_6m,PPO_3m,skewness_3m,price_oscillator,momentum_diff_ADX_3m_6m,BOPGSTB,RSI_48m
XLV,2020-02-03 00:00:00,causal,bollinger_high_3,PPO_3m,BOPGSTB,skewness_24m,skewness_3m,kurtosis_12m,kurtosis_24m,ROC_24m,bollinger_low_12,momentum_diff_RSI_3m_6m
XLP,2020-02-03 00:00:00,selectkbest,kurtosis_24m,MACD_3m,ADX_3m,MACD_6m,MACD_12m,MACD_24m,RSI_48m,MACD_48m,momentum_diff_ADX_3m_6m,momentum_diff_RSI_24m_48m
XLV,2020-02-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
XLY,2020-02-03 00:00:00,selectkbest,MACD_3m,ROC_3m,MACD_6m,MACD_12m,RSI_24m,MACD_24m,RSI_48m,MACD_48m,momentum_diff_RSI_24m_48m,momentum_diff_ROC_24m_48m
XLV,2020-02-03 00:00:00,selectkbest,MACD_3m,MACD_6m,MACD_12m,MACD_24m,ROC_24m,RSI_48m,MACD_48m,momentum_diff_ROC_12m_24m,momentum_diff_RSI_24m_48m,bollinger_high_3
XLU,2020-02-03 00:00:00,shap,bollinger_high_6,momentum_diff_RSI_3m_6m,volume,momentum_diff_RSI_12m_24m,MACD_3m,bollinger_low_6,kurtosis_24m,bollinger_high_48,skewness_3m,skewness_12m
XLU,2020-02-03 00:00:00,causal,bollinger_high_6,skewness_3m,volume,momentum_diff_ROC_3m_6m,momentum_diff_RSI_6m_12m,bollinger_high_12,momentum_diff_ADX_6m_12m,ADX_3m,price_oscillator,momentum_diff_RSI_3m_6m
XLU,2020-02-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
IYR,2020-02-03 00:00:00,shap,kurtosis_6m,bollinger_high_3,PPO_3m,BOPGSTB,kurtosis_24m,ROC_12m,bollinger_low_3,momentum_diff_ROC_12m_24m,open,volume
IYR,2020-02-03 00:00:00,causal,CPIAUCSL,obv,momentum_diff_ROC_12m_24m,bollinger_low_6,volume,RSI_24m,kurtosis_6m,ROC_12m,skewness_3m,bollinger_low_12
XLU,2020-02-03 00:00:00,selectkbest,MACD_3m,MACD_6m,MACD_12m,MACD_24m,MACD_48m,momentum_diff_ROC_3m_6m,momentum_diff_ADX_3m_6m,momentum_diff_RSI_24m_48m,bollinger_high_6,bollinger_high_12
IYR,2020-02-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
VOX,2020-02-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
VOX,2020-02-03 00:00:00,causal,skewness_6m,CPIAUCSL,skewness_3m,ROC_12m,bollinger_high_6,adl,momentum_diff_ADX_3m_6m,price_oscillator,ADX_12m,skewness_24m
VOX,2020-02-03 00:00:00,shap,ADX_12m,skewness_6m,skewness_3m,ROC_12m,bollinger_high_6,volume,bollinger_low_3,RSI_12m,bollinger_high_3,RSI_6m
SPY,2020-02-03 00:00:00,shap,kurtosis_6m,CPIAUCSL,obv,bollinger_high_6,bollinger_high_12,volume,MACD_3m,price_oscillator,kurtosis_48m,momentum_diff_RSI_24m_48m
IYR,2020-02-03 00:00:00,selectkbest,skewness_6m,kurtosis_6m,skewness_12m,ROC_12m,RSI_24m,MACD_24m,MACD_48m,momentum_diff_ROC_6m_12m,momentum_diff_ROC_12m_24m,price_oscillator
SPY,2020-02-03 00:00:00,causal,CPIAUCSL,RSI_12m,price_oscillator,bollinger_low_6,kurtosis_12m,momentum_diff_ROC_3m_6m,kurtosis_48m,bollinger_low_12,kurtosis_6m,momentum_diff_ROC_24m_48m
SPY,2020-02-03 00:00:00,estatico,price_oscillator,MACD_3m,obv,skewness_6m,volume,skewness_3m,bollinger_high_6,CPIAUCSL,MACD_48m,kurtosis_6m
VOX,2020-02-03 00:00:00,selectkbest,volume,skewness_3m,skewness_6m,MACD_3m,MACD_6m,MACD_12m,MACD_24m,MACD_48m,month,obv
SPY,2020-02-03 00:00:00,selectkbest,MACD_3m,MACD_6m,ROC_6m,MACD_12m,RSI_24m,MACD_24m,MACD_48m,momentum_diff_ROC_3m_6m,momentum_diff_ROC_6m_12m,adl
XLE,2020-03-02 00:00:00,shap,high,price_oscillator,BOPGSTB,momentum_diff_ROC_12m_24m,open,ROC_6m,month,kurtosis_24m,obv,RSI_6m
XLE,2020-03-02 00:00:00,causal,price_oscillator,high,open,ROC_6m,BOPGSTB,volume,bollinger_high_12,momentum_diff_ROC_12m_24m,skewness_3m,skewness_6m
